M_PER,SD_PER,n_PER,M_OVU,SD_OVU,n_OVU,M_LUT,SD_LUT,n_LUT,n_komplett,SW_stat_PER,SW_p_PER,SW_stat_OVU,SW_p_OVU,SW_stat_LUT,SW_p_LUT,Normalverteilung,SW_detail,Test,Chi2,Teststatistik,df,p_wert,Signifikant,Kendalls_W,Mauchly_p,Sphaerizitaet_verletzt,GG_Korrektur,eta2_p,eta2_interpretation,Uebung,Muskel,Abschnitt,Kennwert,F,posthoc_PER_OVU_p,posthoc_PER_LUT_p,posthoc_OVU_LUT_p
24.421936121528645,22.638724780651323,11,18.9752334171363,11.010357187091895,11,21.15654939717406,10.221948904508002,11,11,0.6836703183229571,0.00028881439569476924,0.8885602318269429,0.13341970611607634,0.9633534520978648,0.8127078227783101,nein,"PER: <0,001
OVU: 0,133
LUT: 0,813",Friedman,0.18181818181818699,"0,182",2,0.91310071628226,nein,0.00826446280991759,,,,,,CMJ bilateral,Biceps Femoris,Gesamt,mean_rms,,,,
125.19596736648377,175.76840517340676,11,82.93309757091112,44.116241494278704,11,88.60178880772149,51.811573085472844,11,11,0.48250326469437976,9.340137724679034e-07,0.8460894210350417,0.03794246192054522,0.9786607921336271,0.9582562963543568,nein,"PER: <0,001
OVU: 0,038
LUT: 0,958",Friedman,0.545454545454561,"0,545",2,0.7613003866968678,nein,0.02479338842975277,,,,,,CMJ bilateral,Biceps Femoris,Gesamt,peak_rms,,,,
43.74162469135195,78.85320759501225,11,25.642374608402722,28.953181564582387,11,26.94114928197863,16.20039087374692,11,11,0.48122352407169056,9.015783674053215e-07,0.5967116019556002,2.31388198392574e-05,0.9423123563254449,0.5480526342295101,nein,"PER: <0,001
OVU: <0,001
LUT: 0,548",Friedman,0.545454545454561,"0,545",2,0.7613003866968678,nein,0.02479338842975277,,,,,,CMJ bilateral,Biceps Femoris,Landung,mean_rms,,,,
93.50609561550532,185.8864246285675,11,52.72024566371601,49.398497530389854,11,57.037072030876374,39.13133569825233,11,11,0.4575905534578384,4.704779515002945e-07,0.7454515980612724,0.0018132674050703567,0.9321407328397388,0.4329133948236516,nein,"PER: <0,001
OVU: 0,002
LUT: 0,433",Friedman,0.7272727272727195,"0,727",2,0.6951439283988814,nein,0.03305785123966907,,,,,,CMJ bilateral,Biceps Femoris,Landung,peak_rms,,,,
21.18097518552506,5.059119319573892,11,23.855210018732677,7.2547727977685454,11,22.258344714375696,4.586643813218642,11,11,0.940810906052997,0.5300780092261077,0.7902305326489036,0.006997412534802841,0.9302149517145835,0.4130321259758518,nein,"PER: 0,530
OVU: 0,007
LUT: 0,413",Friedman,2.9090909090909065,"2,909",2,0.2335064790909137,nein,0.13223140495867758,,,,,,CMJ bilateral,Gastrocnemius medial,Gesamt,mean_rms,,,,
88.81727326447054,22.671496881710617,11,112.50358413211485,86.0016029222938,11,95.7300669960412,33.058207544521586,11,11,0.9416148889162685,0.5396656460234057,0.5525042420334298,6.590211270036253e-06,0.9661900484261945,0.8456926942618651,nein,"PER: 0,540
OVU: <0,001
LUT: 0,846",Friedman,0.18181818181818699,"0,182",2,0.91310071628226,nein,0.00826446280991759,,,,,,CMJ bilateral,Gastrocnemius medial,Gesamt,peak_rms,,,,
19.573174131097367,8.808016222715523,11,27.64042994116281,27.954501214575963,11,20.284306630179795,10.017154759912005,11,11,0.9255812996476456,0.367896321667175,0.5266175276322167,3.184287343978487e-06,0.9173504062528753,0.2971861306589443,nein,"PER: 0,368
OVU: <0,001
LUT: 0,297",Friedman,0.18181818181818699,"0,182",2,0.91310071628226,nein,0.00826446280991759,,,,,,CMJ bilateral,Gastrocnemius medial,Landung,mean_rms,,,,
59.270413673776744,30.118209763501586,11,76.83536031314398,96.94095695999896,11,54.16307399258084,31.73279449792426,11,11,0.8851490339251964,0.12088287144967375,0.499578981795606,1.4986913152483328e-06,0.9442064441688153,0.5711345466296219,nein,"PER: 0,121
OVU: <0,001
LUT: 0,571",Friedman,0.18181818181818699,"0,182",2,0.91310071628226,nein,0.00826446280991759,,,,,,CMJ bilateral,Gastrocnemius medial,Landung,peak_rms,,,,
17.510427448071674,9.506697181309796,11,22.043529394366793,12.017159149270915,11,18.770362068015597,11.49690987060534,11,11,0.943608934159118,0.5638068832501223,0.9454702879488748,0.5867637964930639,0.9359954584659045,0.4746237650842493,ja,"PER: 0,564
OVU: 0,587
LUT: 0,475",ANOVA,,"1,106","2, 20",0.3503862109204951,nein,,3.80203430355668,nein,nein,0.099560163045207,mittel,CMJ bilateral,Gluteus Medius,Gesamt,mean_rms,1.1056836776781287,,,
69.85397411202769,36.9367723917221,11,95.29649033808046,60.877150885418104,11,78.45540262451189,56.974764083066646,11,11,0.9388632301690123,0.5072276922288523,0.9307990461024666,0.4189933451309659,0.9104626693984414,0.2469884896076247,ja,"PER: 0,507
OVU: 0,419
LUT: 0,247",ANOVA,,"1,039","2, 20",0.3719893323559995,nein,,6.268158827000032,nein,nein,0.0941567581576118,mittel,CMJ bilateral,Gluteus Medius,Gesamt,peak_rms,1.0394376621512023,,,
25.15189080149925,21.55349483009225,11,31.8903143753952,23.009333642980916,11,33.847115542506984,39.139193785585064,11,11,0.7862516259570911,0.006203417143058182,0.9374963534607043,0.4915272537005633,0.7198506918368655,0.0008434075607079922,nein,"PER: 0,006
OVU: 0,492
LUT: <0,001",Friedman,0.18181818181818699,"0,182",2,0.91310071628226,nein,0.00826446280991759,,,,,,CMJ bilateral,Gluteus Medius,Landung,mean_rms,,,,
50.885788213188604,36.044762287892425,11,81.56139433621532,60.53442125496701,11,63.27833162316902,57.29185366823031,11,11,0.8915835014895189,0.14553882498334675,0.9227845100565553,0.342518336468533,0.8272456037815035,0.02147868220198546,nein,"PER: 0,146
OVU: 0,343
LUT: 0,021",Friedman,0.545454545454561,"0,545",2,0.7613003866968678,nein,0.02479338842975277,,,,,,CMJ bilateral,Gluteus Medius,Landung,peak_rms,,,,
22.720698324005703,7.339564213253026,11,20.17536479996138,10.16805070987195,11,22.584819258658545,7.9496066563352725,11,11,0.9149366789433818,0.2786953360930536,0.9455037253845486,0.5871795699575629,0.9329338532813024,0.44128932080524064,ja,"PER: 0,279
OVU: 0,587
LUT: 0,441",ANOVA,,"1,627","2, 20",0.22155419853005343,nein,,3.9205446545751625,nein,nein,0.1399018798805015,mittel,CMJ bilateral,Semitendinosus,Gesamt,mean_rms,1.6265804634134549,,,
88.62309486308006,30.051059584978894,11,74.83194238732376,34.923747589895655,11,87.61583728356348,39.32171354320663,11,11,0.9476193883061427,0.6136993384708747,0.9319238601273071,0.4306420315527444,0.9530274502001626,0.6828065187774092,ja,"PER: 0,614
OVU: 0,431
LUT: 0,683",ANOVA,,"2,175","2, 20",0.13976231824407828,nein,,0.18773815808214742,nein,nein,0.17862967265201057,gross,CMJ bilateral,Semitendinosus,Gesamt,peak_rms,2.174776306185342,,,
22.706494207569765,9.745672477256868,11,19.78078025876976,8.133058897683606,11,27.09227521563894,21.673587775976575,11,11,0.9304010615697621,0.414925008570917,0.9402625244545757,0.5235894302089383,0.8186839747062837,0.016572810410699548,nein,"PER: 0,415
OVU: 0,524
LUT: 0,017",Friedman,2.181818181818187,"2,182",2,0.3359109812391617,nein,0.0991735537190085,,,,,,CMJ bilateral,Semitendinosus,Landung,mean_rms,,,,
53.9087510423036,22.6380535287033,11,41.91593206533757,14.962042102651509,11,56.391046031639256,34.163006657333604,11,11,0.9272940310051683,0.38413160069141045,0.952824175788883,0.6801914112146854,0.9284744436021672,0.39562751770753357,ja,"PER: 0,384
OVU: 0,680
LUT: 0,396",ANOVA,,"1,511","2, 20",0.24474289203873945,nein,,1.8546501196478191,nein,nein,0.13129762519262894,mittel,CMJ bilateral,Semitendinosus,Landung,peak_rms,1.5114224272926995,,,
35.233093425243474,22.88315838174085,11,23.077251793870023,13.018377882954988,11,36.86817330970675,26.215149058422465,11,11,0.9566791387608994,0.7296944457613221,0.8891442740384927,0.13568482330568837,0.9251319099114037,0.3637238349818632,ja,"PER: 0,730
OVU: 0,136
LUT: 0,364",ANOVA,,"3,582","2, 20",0.04682489641081428,ja,,1.6188875549733366,nein,nein,0.26371206762559474,gross,CMJ bilateral,Vastus Lateralis,Gesamt,mean_rms,3.581643213615732,0.056642607582841925,1.0,0.15541492017169709
113.36879288364767,73.56096708517859,11,68.09759040252727,35.71194047309635,11,123.87520285688987,96.30171892022136,11,11,0.9005508986507953,0.1877352425735888,0.8882328017395076,0.1321653564067074,0.8711383450321668,0.0801763295657149,ja,"PER: 0,188
OVU: 0,132
LUT: 0,080",ANOVA,,"3,374","2, 20",0.054628766373438935,nein,,2.879086715223486,nein,nein,0.2522745903709199,gross,CMJ bilateral,Vastus Lateralis,Gesamt,peak_rms,3.373893505853497,,,
41.23337321615227,31.22671462093514,11,31.479332410026043,19.18199091503738,11,59.11910168380343,48.322155395840184,11,11,0.9161239060364367,0.28766635774212757,0.9177433024686905,0.3002903588045103,0.8545486237997941,0.04891837786826424,nein,"PER: 0,288
OVU: 0,300
LUT: 0,049",Friedman,4.545454545454561,"4,545",2,0.10303080346176338,nein,0.20661157024793458,,,,,,CMJ bilateral,Vastus Lateralis,Landung,mean_rms,,,,
72.78265733804518,56.02384815820085,11,54.733546113246845,30.232813398909325,11,113.43452009054467,96.91763077300783,11,11,0.9149577328069646,0.2788523527868588,0.9285839965773137,0.39670709478501387,0.8330023573858427,0.02556457864661684,nein,"PER: 0,279
OVU: 0,397
LUT: 0,026",Friedman,7.0909090909090935,"7,091",2,0.02885550339038819,ja,0.32231404958677695,,,,,,CMJ bilateral,Vastus Lateralis,Landung,peak_rms,,0.6181640625,0.2490234375,0.005859375
31.97690930757092,23.24570592307674,11,23.498777536584655,12.690739869122462,11,29.819143504696104,16.319094661807004,11,11,0.8382391654658721,0.029946625955586684,0.9694134011177962,0.8805457657546092,0.9789157446505063,0.9598322424612071,nein,"PER: 0,030
OVU: 0,881
LUT: 0,960",Friedman,3.818181818181813,"3,818",2,0.14821506633752052,nein,0.17355371900826422,,,,,,CMJ einbeinig R,Biceps Femoris,Gesamt,mean_rms,,,,
159.45004237301563,219.76100769490154,11,76.28838396176184,41.6115358854435,11,99.43502270790013,52.71632955805919,11,11,0.5702836945924301,1.08978313343533e-05,0.975988646601987,0.9397804698528177,0.9706823128979396,0.8933312725066613,nein,"PER: <0,001
OVU: 0,940
LUT: 0,893",Friedman,5.0909090909090935,"5,091",2,0.07843739051713058,nein,0.23140495867768607,,,,,,CMJ einbeinig R,Biceps Femoris,Gesamt,peak_rms,,,,
47.38555435849346,60.01623843268454,11,25.402394349330574,13.405212822808766,11,38.137619273881405,19.218436457559488,11,11,0.5501288473334216,6.163216721843615e-06,0.9315422349418787,0.42666506437926033,0.922203212685477,0.3374195923679417,nein,"PER: <0,001
OVU: 0,427
LUT: 0,337",Friedman,7.818181818181813,"7,818",2,0.020058727982721684,ja,0.35537190082644604,,,,,,CMJ einbeinig R,Biceps Femoris,Landung,mean_rms,,0.1611328125,1.0,0.0087890625
122.89475272164782,224.0801077222382,11,54.502618330931526,29.629628283447413,11,80.22926500333162,42.19726205223274,11,11,0.42566981089287514,1.967611315609142e-07,0.9536076582185029,0.6902717593905947,0.9555551365711787,0.7153023926332701,nein,"PER: <0,001
OVU: 0,690
LUT: 0,715",Friedman,6.545454545454561,"6,545",2,0.037902914400958214,ja,0.2975206611570255,,,,,,CMJ einbeinig R,Biceps Femoris,Landung,peak_rms,,0.5244140625,1.0,0.0556640625
35.07650835599641,13.957340269041921,11,32.229883790125776,9.236164664199915,11,29.572107803812205,13.228849069656308,11,11,0.8296720861935529,0.023115168585125426,0.7999536368931318,0.00939398422960646,0.8668388099973838,0.07058731290543545,nein,"PER: 0,023
OVU: 0,009
LUT: 0,071",Friedman,1.636363636363626,"1,636",2,0.44123316775998644,nein,0.07438016528925573,,,,,,CMJ einbeinig R,Gastrocnemius medial,Gesamt,mean_rms,,,,
118.25041980643435,47.85698829586731,11,124.71668017840135,79.26418454347312,11,99.13867134661922,40.268149829216654,11,11,0.8613673190561912,0.05998079847222368,0.6470161803068926,9.877801023139769e-05,0.9442255762345112,0.5713698488562718,nein,"PER: 0,060
OVU: <0,001
LUT: 0,571",Friedman,2.363636363636374,"2,364",2,0.30672055757655525,nein,0.1074380165289261,,,,,,CMJ einbeinig R,Gastrocnemius medial,Gesamt,peak_rms,,,,
31.24426864666077,10.593086523444727,11,33.72318009562829,17.42443019039928,11,26.85182165367055,11.910213617538458,11,11,0.9405131364737342,0.5265495132354786,0.8343586261845767,0.02663439656606321,0.9771824456917246,0.9484712376268113,nein,"PER: 0,527
OVU: 0,027
LUT: 0,948",Friedman,0.545454545454561,"0,545",2,0.7613003866968678,nein,0.02479338842975277,,,,,,CMJ einbeinig R,Gastrocnemius medial,Landung,mean_rms,,,,
95.695339166465,34.61302867280626,11,94.87573793161629,87.55110317724782,11,70.45210332486907,38.619858840219365,11,11,0.9482161824311716,0.6212481186163966,0.6293771205804444,5.921667014508343e-05,0.9656548577206963,0.8396165127820069,nein,"PER: 0,621
OVU: <0,001
LUT: 0,840",Friedman,2.181818181818187,"2,182",2,0.3359109812391617,nein,0.0991735537190085,,,,,,CMJ einbeinig R,Gastrocnemius medial,Landung,peak_rms,,,,
